model,mode,setting,load_ohm,expected_W,tol_pct
Ellman Dento-Surg 90 FFP,cut,0,500,3.5,100
Ellman Dento-Surg 90 FFP,cut,1,500,3.5,100
Ellman Dento-Surg 90 FFP,cut,2,500,13,20
Ellman Dento-Surg 90 FFP,cut,3,500,23,20
Ellman Dento-Surg 90 FFP,cut,4,500,31,20
Ellman Dento-Surg 90 FFP,cut,5,500,39,20
Ellman Dento-Surg 90 FFP,cut,6,500,47,20
Ellman Dento-Surg 90 FFP,cut,7,500,53,20
Ellman Dento-Surg 90 FFP,cut,8,500,56,20
Ellman Dento-Surg 90 FFP,cut,9,500,61,20
Ellman Dento-Surg 90 FFP,cut,10,500,63,20
Ellman Dento-Surg 90 FFP,cutcoag,0,500,2,100
Ellman Dento-Surg 90 FFP,cutcoag,1,500,2,100
Ellman Dento-Surg 90 FFP,cutcoag,2,500,10,20
Ellman Dento-Surg 90 FFP,cutcoag,3,500,16,20
Ellman Dento-Surg 90 FFP,cutcoag,4,500,21,20
Ellman Dento-Surg 90 FFP,cutcoag,5,500,28,20
Ellman Dento-Surg 90 FFP,cutcoag,6,500,34,20
Ellman Dento-Surg 90 FFP,cutcoag,7,500,39,20
Ellman Dento-Surg 90 FFP,cutcoag,8,500,43,20
Ellman Dento-Surg 90 FFP,cutcoag,9,500,47,20
Ellman Dento-Surg 90 FFP,cutcoag,10,500,48,20
Ellman Dento-Surg 90 FFP,coag,0,500,2,100
Ellman Dento-Surg 90 FFP,coag,1,500,3,33.3333
Ellman Dento-Surg 90 FFP,coag,2,500,6,20
Ellman Dento-Surg 90 FFP,coag,3,500,8,20
Ellman Dento-Surg 90 FFP,coag,4,500,12,20
Ellman Dento-Surg 90 FFP,coag,5,500,14,20
Ellman Dento-Surg 90 FFP,coag,6,500,17,20
Ellman Dento-Surg 90 FFP,coag,7,500,20,20
Ellman Dento-Surg 90 FFP,coag,8,500,22,20
Ellman Dento-Surg 90 FFP,coag,9,500,23,20
Ellman Dento-Surg 90 FFP,coag,10,500,25,20
Ellman Dento-Surg 90 FFP,fulg,0,500,2,100
Ellman Dento-Surg 90 FFP,fulg,1,500,2,100
Ellman Dento-Surg 90 FFP,fulg,2,500,7,20
Ellman Dento-Surg 90 FFP,fulg,3,500,9,20
Ellman Dento-Surg 90 FFP,fulg,4,500,21,20
Ellman Dento-Surg 90 FFP,fulg,5,500,26,20
Ellman Dento-Surg 90 FFP,fulg,6,500,31,20
