model,mode,setting,load_ohm,expected_W,tol_pct
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,0,500,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,10,500,25,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,20,500,45,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,30,500,60,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,40,500,75,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,50,500,87,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,60,500,96,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,70,500,104,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,80,500,111,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,90,500,118,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cut,100,500,123,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,0,200,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,10,200,25,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,20,200,45,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,30,200,60,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,40,200,75,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,50,200,87,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,60,200,96,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,70,200,104,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,80,200,111,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,90,200,118,20
Ellman Surgitron 4.0 Dual RF/120 IEC,bipolar,100,200,123,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,0,500,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,10,500,13,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,20,500,21,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,30,500,30,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,40,500,38,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,50,500,44,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,60,500,49,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,70,500,53,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,80,500,56,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,90,500,60,20
Ellman Surgitron 4.0 Dual RF/120 IEC,hemo,100,500,62,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,0,500,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,10,500,4,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,20,500,8,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,30,500,13,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,40,500,17,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,50,500,22,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,60,500,27,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,70,500,31,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,80,500,36,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,90,500,41,20
Ellman Surgitron 4.0 Dual RF/120 IEC,fulg,100,500,45,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,0,500,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,10,500,8,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,20,500,17,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,30,500,30,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,40,500,38,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,50,500,48,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,60,500,54,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,70,500,61,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,80,500,68,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,90,500,74,20
Ellman Surgitron 4.0 Dual RF/120 IEC,cutcoag,100,500,88,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,0,500,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,10,500,8,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,20,500,17,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,30,500,30,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,40,500,38,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,50,500,48,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,60,500,54,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,70,500,61,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,80,500,68,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,90,500,74,20
Ellman Surgitron 4.0 Dual RF/120 IEC,blend,100,500,88,20
Ellman Surgitron 4.0 Dual RF/120 IEC,coag,0,500,0,20
Ellman Surgitron 4.0 Dual RF/120 IEC,coag,10,500,13,20
Ellman Surgitron 4.0 Dual RF/120 IEC,coag,20,500,21,20
Ellman Surgitron 4.0 Dual RF/120 IEC,coag,30,500,30,20
