model,mode,setting,load_ohm,min_W,max_W,envelope,wiring
Example ESU (made-up numbers),bipolar,0,100,0,0,0,Both leads -> the two BIPOLAR jacks
Example ESU (made-up numbers),bipolar,5,100,6,9,0,
Example ESU (made-up numbers),bipolar,10,100,12,18,0,
Example ESU (made-up numbers),bipolar,15,100,18,27,0,
Example ESU (made-up numbers),bipolar,20,100,24,36,0,
Example ESU (made-up numbers),bipolar,25,100,30,45,0,
Example ESU (made-up numbers),bipolar,30,100,36,54,0,
Example ESU (made-up numbers),bipolar,35,100,42,63,0,
Example ESU (made-up numbers),bipolar,40,100,48,72,0,
Example ESU (made-up numbers),blend,0,500,0,0,1,Active -> MONOPOLAR jack; return -> REM jack
Example ESU (made-up numbers),blend,10,500,6.4,9.6,1,
Example ESU (made-up numbers),blend,20,500,12.8,19.2,1,
Example ESU (made-up numbers),blend,30,500,19.2,28.8,1,
Example ESU (made-up numbers),blend,40,500,25.6,38.4,1,
Example ESU (made-up numbers),blend,50,500,32,48,1,
Example ESU (made-up numbers),blend,60,500,38.4,57.6,1,
Example ESU (made-up numbers),blend,70,500,44.8,67.2,1,
Example ESU (made-up numbers),blend,80,500,51.2,76.8,1,
Example ESU (made-up numbers),blend,90,500,57.6,86.4,1,
Example ESU (made-up numbers),blend,100,500,64,96,1,
Example ESU (made-up numbers),coag,0,500,0,0,1,
Example ESU (made-up numbers),coag,10,500,4.8,7.2,1,
Example ESU (made-up numbers),coag,20,500,9.6,14.4,1,
Example ESU (made-up numbers),coag,30,500,14.4,21.6,1,
Example ESU (made-up numbers),coag,40,500,19.2,28.8,1,
Example ESU (made-up numbers),coag,50,500,24,36,1,
Example ESU (made-up numbers),coag,60,500,28.8,43.2,1,
Example ESU (made-up numbers),coag,70,500,33.6,50.4,1,
Example ESU (made-up numbers),coag,80,500,38.4,57.6,1,
Example ESU (made-up numbers),coag,90,500,43.2,64.8,1,
Example ESU (made-up numbers),coag,100,500,48,72,1,
Example ESU (made-up numbers),cut,0,500,0,0,0,
Example ESU (made-up numbers),cut,10,500,8,12,0,
Example ESU (made-up numbers),cut,20,500,16,24,0,
Example ESU (made-up numbers),cut,30,500,24,36,0,
Example ESU (made-up numbers),cut,40,500,32,48,0,
Example ESU (made-up numbers),cut,50,500,40,60,0,
Example ESU (made-up numbers),cut,60,500,48,72,0,
Example ESU (made-up numbers),cut,70,500,56,84,0,
Example ESU (made-up numbers),cut,80,500,64,96,0,
Example ESU (made-up numbers),cut,90,500,72,108,0,
Example ESU (made-up numbers),cut,100,500,80,120,0,
