model,mode,setting,load_ohm,expected_W,tol_pct,envelope,wiring
Example ESU (made-up numbers),bipolar,0,100,0,20,0,Both leads -> the two BIPOLAR jacks
Example ESU (made-up numbers),bipolar,5,100,7.5,20,0,
Example ESU (made-up numbers),bipolar,10,100,15,20,0,
Example ESU (made-up numbers),bipolar,15,100,22.5,20,0,
Example ESU (made-up numbers),bipolar,20,100,30,20,0,
Example ESU (made-up numbers),bipolar,25,100,37.5,20,0,
Example ESU (made-up numbers),bipolar,30,100,45,20,0,
Example ESU (made-up numbers),bipolar,35,100,52.5,20,0,
Example ESU (made-up numbers),bipolar,40,100,60,20,0,
Example ESU (made-up numbers),blend,0,500,0,20,1,Active -> MONOPOLAR jack; return -> REM jack
Example ESU (made-up numbers),blend,10,500,8,20,1,
Example ESU (made-up numbers),blend,20,500,16,20,1,
Example ESU (made-up numbers),blend,30,500,24,20,1,
Example ESU (made-up numbers),blend,40,500,32,20,1,
Example ESU (made-up numbers),blend,50,500,40,20,1,
Example ESU (made-up numbers),blend,60,500,48,20,1,
Example ESU (made-up numbers),blend,70,500,56,20,1,
Example ESU (made-up numbers),blend,80,500,64,20,1,
Example ESU (made-up numbers),blend,90,500,72,20,1,
Example ESU (made-up numbers),blend,100,500,80,20,1,
Example ESU (made-up numbers),coag,0,500,0,20,1,
Example ESU (made-up numbers),coag,10,500,6,20,1,
Example ESU (made-up numbers),coag,20,500,12,20,1,
Example ESU (made-up numbers),coag,30,500,18,20,1,
Example ESU (made-up numbers),coag,40,500,24,20,1,
Example ESU (made-up numbers),coag,50,500,30,20,1,
Example ESU (made-up numbers),coag,60,500,36,20,1,
Example ESU (made-up numbers),coag,70,500,42,20,1,
Example ESU (made-up numbers),coag,80,500,48,20,1,
Example ESU (made-up numbers),coag,90,500,54,20,1,
Example ESU (made-up numbers),coag,100,500,60,20,1,
Example ESU (made-up numbers),cut,0,500,0,20,0,
Example ESU (made-up numbers),cut,10,500,10,20,0,
Example ESU (made-up numbers),cut,20,500,20,20,0,
Example ESU (made-up numbers),cut,30,500,30,20,0,
Example ESU (made-up numbers),cut,40,500,40,20,0,
Example ESU (made-up numbers),cut,50,500,50,20,0,
Example ESU (made-up numbers),cut,60,500,60,20,0,
Example ESU (made-up numbers),cut,70,500,70,20,0,
Example ESU (made-up numbers),cut,80,500,80,20,0,
Example ESU (made-up numbers),cut,90,500,90,20,0,
Example ESU (made-up numbers),cut,100,500,100,20,0,
